fID,eID,K,weights,algorithm
51d170bf-4964-4990-b3b1-6cb4310b1e4a,2eeb23db-9e9b-41fd-a06a-d9d65eeb7621,33,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,af968aee-aaa8-41ce-87ff-73065f6b051c,33,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,d56d363c-1857-4e85-872a-bbf3fa6bcda9,33,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,d7cd742f-a511-4519-87ad-e34c40b0e276,35,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,2061e3dc-ed58-4321-8b1d-17194dcad45d,35,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,26643196-a76e-42b8-a6b3-9a0afe5022dd,35,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,355bedd3-35c4-4aed-a54e-ecf53bcd125d,35,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,826dc88e-a0ed-43c8-baa5-0ec4d0741f89,35,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,5d78a87b-d728-413b-9888-c3fe17a9c814,35,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,361c1308-e124-447f-82d2-56893520a0aa,37,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,5e36e4b2-6b65-42ca-87e5-3490953cb631,37,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,4d8e06f3-6e9e-4def-bbcf-06f051d89516,37,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,f70aa429-01ba-4e97-a17e-e528ad09d7bd,37,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,4367a024-235f-435c-9018-f130b9e60d82,37,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e1e6d0fa-b12c-48d0-89ad-31d626f43c76,37,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8c45a3f8-2ff8-4986-ab45-fa8422211a8b,39,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,ff006b41-ac00-42ed-b20c-7eb237da8506,39,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,b0b6551e-7db3-4f6d-bace-5b6c7b58c3df,39,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,39537d79-7465-4dcb-b02c-44c369c7adea,39,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,c5a773f8-cb9e-427c-9830-34ea7c718363,39,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e09c58ee-9928-4083-adf7-77ffa0ba7ad8,39,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,b6db39f4-65cd-438f-b012-c66e2c4c2722,41,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,d6a28ddc-a822-4c30-ba96-4a620389b329,41,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,6b86a074-0b47-4bed-9ecd-0c8392030205,41,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,986ed1c3-9647-401f-8004-8f7a265632d4,41,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,59a3e07e-1f98-4ffc-a7cb-ff0bb3308f90,41,distance,ball_tree
