fID,eID,hidden_layer_neurons,solver,activation_fn,max_Iterations,tolerance,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,4c3c8869-12ac-4cd0-8a75-ff1b29dd5dbf,[1000],lbfgs,relu,100000,0.0001,FALSE,None,MLP,3468,971,2,0.498269896,0,0,0,0,0,0,2.809369008
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,d5c8a7df-e65d-481a-85ec-dc8b728e75ea,"[100, 20]",lbfgs,relu,100000,0.0001,FALSE,None,MLP,3468,971,2,0.818915802,0.820160367,0.817351598,0.822988506,0.820160367,0.817351598,0.822988506,1.865365219
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,ca9e6c51-7664-4ad2-b04e-31473c39d55e,"[200, 20]",lbfgs,relu,100000,0.0001,FALSE,None,MLP,3468,971,2,0.498269896,0,0,0,0,0,0,0.551115752
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,a117c58f-b32c-4b7f-9311-b4bcb97e8161,"[500, 20]",lbfgs,relu,100000,0.0001,FALSE,None,MLP,3468,971,2,0.498269896,0,0,0,0,0,0,1.095472722
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,1ac5be46-3a0a-4a8d-a6a9-94d751e8bdbf,"[1000, 20]",lbfgs,relu,100000,0.0001,FALSE,None,MLP,3468,971,2,0.522491349,0.372727273,0.546666667,0.282758621,0.372727273,0.546666667,0.282758621,2.536350499
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,50fe6aac-eb3c-4404-b0be-23eb1cbbc7ea,[100],lbfgs,tanh,100000,0.001,FALSE,None,MLP,3468,971,2,0.862745098,0.862108922,0.869158879,0.855172414,0.862108922,0.869158879,0.855172414,64.39713932
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,3218a889-9af6-4167-8bd4-ea56e795e18a,[200],lbfgs,tanh,100000,0.001,FALSE,None,MLP,3468,971,2,0.861591696,0.860788863,0.868852459,0.852873563,0.860788863,0.868852459,0.852873563,42.34831752
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,fb2388ea-d445-444f-86a2-8f5407d37141,[500],lbfgs,tanh,100000,0.001,FALSE,None,MLP,3468,971,2,0.868512111,0.869266055,0.867276888,0.871264368,0.869266055,0.867276888,0.871264368,36.42112561
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,087b8d4c-947c-47be-97cd-ddd60e633215,[1000],lbfgs,tanh,100000,0.001,FALSE,None,MLP,3468,971,2,0.870818916,0.87037037,0.876456876,0.864367816,0.87037037,0.876456876,0.864367816,37.98667095
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,5bd95007-0429-4959-9c59-d7bda9ab1530,"[100, 20]",lbfgs,tanh,100000,0.001,FALSE,None,MLP,3468,971,2,0.891580161,0.891705069,0.893764434,0.889655172,0.891705069,0.893764434,0.889655172,85.49194446
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,1af1a547-39ba-4fae-95f4-b95498953f97,"[200, 20]",lbfgs,tanh,100000,0.001,FALSE,None,MLP,3468,971,2,0.853517878,0.854524628,0.851598174,0.857471264,0.854524628,0.851598174,0.857471264,47.45568142
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,44ec45a8-b21e-4613-bc5f-a6b9daefde0b,"[500, 20]",lbfgs,tanh,100000,0.001,FALSE,None,MLP,3468,971,2,0.881199539,0.880371661,0.889671362,0.871264368,0.880371661,0.889671362,0.871264368,41.30512396
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,1949c981-69f8-4f78-a24c-c6d5ebc34ea7,"[1000, 20]",lbfgs,tanh,100000,0.001,FALSE,None,MLP,3468,971,2,0.875432526,0.874709977,0.882903981,0.866666667,0.874709977,0.882903981,0.866666667,43.90545639
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,ffa14d67-4f06-483f-b25b-44e695bb45e1,[100],lbfgs,relu,100000,0.001,FALSE,None,MLP,3468,971,2,0.743944637,0.740654206,0.752969121,0.728735632,0.740654206,0.752969121,0.728735632,1.091431845
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,4013b20f-49f2-4406-a202-2a6d43003f6c,[200],lbfgs,relu,100000,0.001,FALSE,None,MLP,3468,971,2,0.862745098,0.86583991,0.849557522,0.882758621,0.86583991,0.849557522,0.882758621,4.225469511
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,4ea6c839-6a4e-4c14-a985-d5ce00e471c0,[500],lbfgs,relu,100000,0.001,FALSE,None,MLP,3468,971,2,0.85467128,0.854503464,0.858468677,0.850574713,0.854503464,0.858468677,0.850574713,7.335039045
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,43cccb85-1096-4c52-95ea-792b2ed57317,[1000],lbfgs,relu,100000,0.001,FALSE,None,MLP,3468,971,2,0.498269896,0,0,0,0,0,0,2.827466598
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,0aff063c-e883-4131-94ed-3ff993e44688,"[100, 20]",lbfgs,relu,100000,0.001,FALSE,None,MLP,3468,971,2,0.498269896,0,0,0,0,0,0,0.382644293
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,6a26f4d0-722e-403d-acbd-cfc4ec0eeb79,"[200, 20]",lbfgs,relu,100000,0.001,FALSE,None,MLP,3468,971,2,0.743944637,0.701612903,0.844660194,0.6,0.701612903,0.844660194,0.6,0.952577377
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,0078b2e5-5f2d-402e-a33a-1bf643d5e715,"[500, 20]",lbfgs,relu,100000,0.001,FALSE,None,MLP,3468,971,2,0.498269896,0,0,0,0,0,0,1.113270993
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,73da31e3-868b-49f8-a067-da80ac0e8ccd,"[1000, 20]",lbfgs,relu,100000,0.001,FALSE,None,MLP,3468,971,2,0.501730104,0.022624434,0.714285714,0.011494253,0.022624434,0.714285714,0.011494253,2.518092557
622f51f0-b52e-433c-a51c-de7463629a14,9eb0f19d-5f87-4e09-9e0c-ef87f3c52eb8,[100],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1109,22,2,0.913669065,0,0,0,0,0,0,7.45439658
622f51f0-b52e-433c-a51c-de7463629a14,7e2c9a77-8453-4c20-af1c-d9af7a3d0859,[200],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1109,22,2,0.910071942,0.285714286,0.454545455,0.208333333,0.285714286,0.454545455,0.208333333,70.64277686
622f51f0-b52e-433c-a51c-de7463629a14,135fa1cc-a449-4e70-b3c4-6783a7d1fb9a,[500],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1109,22,2,0.910071942,0.137931034,0.4,0.083333333,0.137931034,0.4,0.083333333,278.7876494
622f51f0-b52e-433c-a51c-de7463629a14,9d120bc5-0987-4715-99cf-25a10787d327,[1000],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1109,22,2,0.913669065,0,0,0,0,0,0,0.305941708
622f51f0-b52e-433c-a51c-de7463629a14,6001f106-6aa5-48d4-b6c3-3ccbe53de6e0,"[100, 20]",lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1109,22,2,0.917266187,0.148148148,0.666666667,0.083333333,0.148148148,0.666666667,0.083333333,5.818368178
622f51f0-b52e-433c-a51c-de7463629a14,e493304a-04b2-443d-9a26-8a2c84356f3b,"[200, 20]",lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1109,22,2,0.90647482,0.235294118,0.4,0.166666667,0.235294118,0.4,0.166666667,70.00687884
622f51f0-b52e-433c-a51c-de7463629a14,6e893f7a-0d89-4c60-a419-c92a240e230a,"[500, 20]",lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1109,22,2,0.913669065,0,0,0,0,0,0,60.8022665
