fID,eID,hidden_layer_neurons,solver,activation_fn,max_Iterations,tolerance
622f51f0-b52e-433c-a51c-de7463629a14,9eb0f19d-5f87-4e09-9e0c-ef87f3c52eb8,[100],lbfgs,tanh,100000,0.0001
622f51f0-b52e-433c-a51c-de7463629a14,7e2c9a77-8453-4c20-af1c-d9af7a3d0859,[200],lbfgs,tanh,100000,0.0001
622f51f0-b52e-433c-a51c-de7463629a14,135fa1cc-a449-4e70-b3c4-6783a7d1fb9a,[500],lbfgs,tanh,100000,0.0001
622f51f0-b52e-433c-a51c-de7463629a14,9d120bc5-0987-4715-99cf-25a10787d327,[1000],lbfgs,tanh,100000,0.0001
622f51f0-b52e-433c-a51c-de7463629a14,6001f106-6aa5-48d4-b6c3-3ccbe53de6e0,"[100, 20]",lbfgs,tanh,100000,0.0001
622f51f0-b52e-433c-a51c-de7463629a14,e493304a-04b2-443d-9a26-8a2c84356f3b,"[200, 20]",lbfgs,tanh,100000,0.0001
622f51f0-b52e-433c-a51c-de7463629a14,6e893f7a-0d89-4c60-a419-c92a240e230a,"[500, 20]",lbfgs,tanh,100000,0.0001
622f51f0-b52e-433c-a51c-de7463629a14,cb61d75a-f5be-43f0-9a52-ddb5661420e0,"[1000, 20]",lbfgs,tanh,100000,0.0001
622f51f0-b52e-433c-a51c-de7463629a14,19304d6f-410a-4103-adb1-c514fb697975,[100],lbfgs,relu,100000,0.0001
622f51f0-b52e-433c-a51c-de7463629a14,15fd3756-7c7b-4cea-a4a1-3bf3a9424a3f,[200],lbfgs,relu,100000,0.0001
622f51f0-b52e-433c-a51c-de7463629a14,a4577655-cc7f-4645-9dea-de2eaf6fa51d,[500],lbfgs,relu,100000,0.0001
622f51f0-b52e-433c-a51c-de7463629a14,4c331b4b-0cf3-443b-8198-2e578d5ab569,[1000],lbfgs,relu,100000,0.0001
622f51f0-b52e-433c-a51c-de7463629a14,aef1aa1d-8454-49be-9185-8e8903231f98,"[100, 20]",lbfgs,relu,100000,0.0001
622f51f0-b52e-433c-a51c-de7463629a14,0b8879b9-74df-4b29-92bc-71f729ced501,"[200, 20]",lbfgs,relu,100000,0.0001
622f51f0-b52e-433c-a51c-de7463629a14,e6a51ce7-f6a4-4a53-b830-b6057e1f5616,"[500, 20]",lbfgs,relu,100000,0.0001
