fID,eID,K,weights,algorithm,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
51d170bf-4964-4990-b3b1-6cb4310b1e4a,88c2b8a1-0881-4e34-8c51-01ba4d2b9b0e,21,distance,ball_tree,FALSE,None,KNN,1000,21,2,0.668,0.793017456,0.713004484,0.893258427,0.793017456,0.713004484,0.893258427,0.005364537
51d170bf-4964-4990-b3b1-6cb4310b1e4a,415e9fac-ef43-4dd2-ae58-3bfb5923e435,21,distance,brute,FALSE,None,KNN,1000,21,2,0.668,0.793017456,0.713004484,0.893258427,0.793017456,0.713004484,0.893258427,0.001787035
51d170bf-4964-4990-b3b1-6cb4310b1e4a,03999bc5-c90b-4d3f-9c81-8dac8a08ea5f,23,uniform,auto,FALSE,None,KNN,1000,21,2,0.708,0.824096386,0.721518987,0.960674157,0.824096386,0.721518987,0.960674157,0.006962668
51d170bf-4964-4990-b3b1-6cb4310b1e4a,cf234764-86b9-421c-afa3-dcbd2ede08c4,23,uniform,ball_tree,FALSE,None,KNN,1000,21,2,0.708,0.824096386,0.721518987,0.960674157,0.824096386,0.721518987,0.960674157,0.005651956
51d170bf-4964-4990-b3b1-6cb4310b1e4a,38e0a13d-a84f-418b-b519-165d6441b4fb,23,uniform,brute,FALSE,None,KNN,1000,21,2,0.708,0.824096386,0.721518987,0.960674157,0.824096386,0.721518987,0.960674157,0.001935895
51d170bf-4964-4990-b3b1-6cb4310b1e4a,0825faf4-a922-4dc6-8dc1-3317e2e04c39,23,distance,auto,FALSE,None,KNN,1000,21,2,0.664,0.792079208,0.707964602,0.898876404,0.792079208,0.707964602,0.898876404,0.007158718
51d170bf-4964-4990-b3b1-6cb4310b1e4a,a9ca5f17-4286-4cdb-bf83-5ab0dda97d6a,23,distance,ball_tree,FALSE,None,KNN,1000,21,2,0.664,0.792079208,0.707964602,0.898876404,0.792079208,0.707964602,0.898876404,0.005372183
51d170bf-4964-4990-b3b1-6cb4310b1e4a,b2931b4a-5e68-4cc6-873e-a100f6347c7b,23,distance,brute,FALSE,None,KNN,1000,21,2,0.664,0.792079208,0.707964602,0.898876404,0.792079208,0.707964602,0.898876404,0.00183977
51d170bf-4964-4990-b3b1-6cb4310b1e4a,f6a31b15-80f0-4757-bf63-f640da93709f,25,uniform,auto,FALSE,None,KNN,1000,21,2,0.716,0.829736211,0.723849372,0.971910112,0.829736211,0.723849372,0.971910112,0.006983077
51d170bf-4964-4990-b3b1-6cb4310b1e4a,c9381655-4a3f-4be6-8bef-02505b425abf,25,uniform,ball_tree,FALSE,None,KNN,1000,21,2,0.716,0.829736211,0.723849372,0.971910112,0.829736211,0.723849372,0.971910112,0.005397504
