fID,eID,C,Kernel,Degree,Tolerance
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e8bc00e6-ec7d-4388-9a6c-eb2441bdf95b,1,linear,5,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,010afbcd-f87a-4b94-be5e-787466570708,1,linear,5,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,435883d6-5623-406c-baa0-477219a48c2e,1,linear,6,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,98a9e359-2ebe-4ce3-8e7e-6aa376cfd277,1,linear,6,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,22612e23-ee1e-46ac-afbe-64d3e9f5bc68,1,linear,7,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,a2b207e1-394f-4625-9802-8842af276655,1,linear,7,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,9011bdfb-3868-4664-a7c7-222027e7a450,1,linear,8,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,82fc04fe-6119-4ebd-a6e8-67d6de3411fa,1,linear,8,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,38ddd605-0605-47a9-beb4-4e6a6b2a90fc,11,rbf,3,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,025e7f64-c6d8-4536-81bc-be5fce8167e7,11,rbf,3,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e6d186c9-5c63-4838-83b1-7afb794eb58b,11,rbf,4,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,5bcb58f1-05fe-40e4-9f9d-09bf71760c79,11,rbf,4,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,88389e52-732b-4125-b198-26533930598b,11,rbf,5,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,cb3fe4c7-313f-4641-b817-d4016a2f730a,11,rbf,5,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8ce254be-a459-4d76-b58f-3d84b7f1979a,11,rbf,6,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,5b6f840f-2d0a-4ee2-bf16-85cf6b0109cd,11,rbf,6,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,dc693d29-6d9f-4c3f-9be7-d70cdfb1827d,11,rbf,7,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,d13fe5e7-37da-4b4e-8f94-52bd893e1f2b,11,rbf,7,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,80409911-a6c5-459a-aa51-fcdbd4d1a163,11,rbf,8,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,0482206a-3da1-4688-801f-d91de3a8caab,11,rbf,8,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,f1bdb040-e951-407c-b34b-27b79aa25c65,11,linear,3,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,b28ee3ec-c49d-4c90-b25b-f85c94e9d98d,11,linear,3,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,cbb12fde-395d-450d-ac03-83302db4950d,11,linear,4,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,7c980dd1-2244-4b0f-acca-d854c4637197,11,linear,4,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,499141ee-4668-4a58-98e9-7aee815599f9,11,linear,5,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,c36fb65e-99ee-44da-97e0-f1585cbd05fa,11,linear,5,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,993c8186-91d1-4482-b90e-be83c8722d6b,11,linear,6,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,3397de18-5054-490c-a821-643cf94ddd65,11,linear,6,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,902ca39c-513b-40d1-949f-a362bf34817e,11,linear,7,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,62ce65a3-6f20-4d01-95ef-1875d6105b38,11,linear,7,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,16c44c66-f4bd-482b-beb7-a5b7d3bc3b1a,11,linear,8,0.0001
