fID,eID,trees,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
690312cf-ea5d-4f2f-9ab5-451ae51ecce1,d43c0905-a3bc-4d35-bd53-86de78b4265a,300,FALSE,None,RF,2000,48,10,0.782,0.782,0.782,0.782,0.763225325,0.758692331,0.770246043,2.079441661
690312cf-ea5d-4f2f-9ab5-451ae51ecce1,b1249e10-066a-4e6d-a7f8-abb97c16031b,400,FALSE,None,RF,2000,48,10,0.782,0.782,0.782,0.782,0.762263833,0.756292076,0.770332887,2.763932318
a0431e7e-1d50-49a2-8404-8783538f21e1,b3cd126c-4720-417d-8d7b-3c2f99152da7,100,FALSE,None,RF,5620,65,10,0.977224199,0.977224199,0.977224199,0.977224199,0.977206231,0.977309101,0.977460742,0.74539298
a0431e7e-1d50-49a2-8404-8783538f21e1,ba2f363a-c6e4-4974-9321-a4c80e13b07c,200,FALSE,None,RF,5620,65,10,0.974377224,0.974377224,0.974377224,0.974377224,0.974470079,0.974576302,0.974621372,1.392000162
a0431e7e-1d50-49a2-8404-8783538f21e1,4dc86a87-0bc4-4c93-b0b7-c72f2e7cb5cb,300,FALSE,None,RF,5620,65,10,0.976512456,0.976512456,0.976512456,0.976512456,0.976641788,0.976824986,0.976850517,2.075709274
a0431e7e-1d50-49a2-8404-8783538f21e1,cd70ca25-683f-4f9c-9b09-bfa573ba220f,400,FALSE,None,RF,5620,65,10,0.979359431,0.979359431,0.979359431,0.979359431,0.979409659,0.979612591,0.979506092,2.77379857
63ea4b62-7676-4f07-9f56-423d20f9a5b1,85ecb259-d475-4405-9d12-e9f0fa83680d,100,FALSE,None,RF,10992,17,10,0.990902475,0.990902475,0.990902475,0.990902475,0.990955339,0.990985786,0.990977601,1.218292527
63ea4b62-7676-4f07-9f56-423d20f9a5b1,32b0f60b-9281-408c-a80d-80901d8a41ea,200,FALSE,None,RF,10992,17,10,0.991266376,0.991266376,0.991266376,0.991266376,0.991316582,0.991345005,0.99134519,2.325302173
63ea4b62-7676-4f07-9f56-423d20f9a5b1,89de11f9-fe8e-4607-8475-50c9accdf464,300,FALSE,None,RF,10992,17,10,0.991630277,0.991630277,0.991630277,0.991630277,0.991672802,0.991755324,0.991671663,3.504439518
63ea4b62-7676-4f07-9f56-423d20f9a5b1,789afda0-d0d6-45e0-8579-4a5bb3785907,400,FALSE,None,RF,10992,17,10,0.991630277,0.991630277,0.991630277,0.991630277,0.991689913,0.99176625,0.991688142,4.66514187
0018ded6-3d48-4024-9a50-4e4c56db0fac,68df05df-92f1-414b-bb05-ddee0d35a5c7,100,FALSE,None,RF,2310,20,7,0.967128028,0.967128028,0.967128028,0.967128028,0.969845519,0.971076766,0.968942744,0.373776247
0018ded6-3d48-4024-9a50-4e4c56db0fac,4956f738-4a51-4157-833d-a71f201e3fe3,200,FALSE,None,RF,2310,20,7,0.970588235,0.970588235,0.970588235,0.970588235,0.972889859,0.973541917,0.972384302,0.677751221
0018ded6-3d48-4024-9a50-4e4c56db0fac,723c5838-4878-4fef-9495-580a9de183cd,300,FALSE,None,RF,2310,20,7,0.970588235,0.970588235,0.970588235,0.970588235,0.972517832,0.973596082,0.971679361,1.013235155
0018ded6-3d48-4024-9a50-4e4c56db0fac,3c73e549-0f33-458a-be41-6f977c7e5b0c,400,FALSE,None,RF,2310,20,7,0.974048443,0.974048443,0.974048443,0.974048443,0.975857311,0.976607292,0.975241445,1.356662096
d54ecaea-fa1f-45a3-9e3c-75271a3042c0,10c99d9c-db04-419e-b0b3-58a32fc6a790,100,FALSE,None,RF,2000,217,10,0.972,0.972,0.972,0.972,0.970685607,0.972833409,0.969970417,0.853023099
d54ecaea-fa1f-45a3-9e3c-75271a3042c0,8d7b04be-30ad-4fa9-91b6-d9b0dfe83c84,200,FALSE,None,RF,2000,217,10,0.968,0.968,0.968,0.968,0.966679972,0.968765842,0.966418382,1.609581547
d54ecaea-fa1f-45a3-9e3c-75271a3042c0,45910198-2bac-4faf-b83b-7451df1b2bad,300,FALSE,None,RF,2000,217,10,0.97,0.97,0.97,0.97,0.968637511,0.970521922,0.968118566,2.412007399
d54ecaea-fa1f-45a3-9e3c-75271a3042c0,14895325-4f9a-44c7-b29d-0230461ace48,400,FALSE,None,RF,2000,217,10,0.966,0.966,0.966,0.966,0.963883188,0.966549764,0.963159887,3.206294068
048f6035-dbb1-4a1f-be00-bb8810fdd13e,b4af6923-af9f-4b11-8e8e-d6432a9ac619,100,FALSE,None,RF,768,9,2,0.723958333,0.613138686,0.617647059,0.608695652,0.613138686,0.617647059,0.608695652,0.215987094
048f6035-dbb1-4a1f-be00-bb8810fdd13e,b4edcda5-d174-470c-926e-41d40a8998bd,200,FALSE,None,RF,768,9,2,0.729166667,0.617647059,0.626865672,0.608695652,0.617647059,0.626865672,0.608695652,0.35343421
048f6035-dbb1-4a1f-be00-bb8810fdd13e,88d0c0e9-32ba-4f2c-943d-86b7d85f07b0,300,FALSE,None,RF,768,9,2,0.739583333,0.642857143,0.633802817,0.652173913,0.642857143,0.633802817,0.652173913,0.5228021
048f6035-dbb1-4a1f-be00-bb8810fdd13e,ce74747e-57ec-45af-a59b-b777f61071b8,400,FALSE,None,RF,768,9,2,0.739583333,0.632352941,0.641791045,0.623188406,0.632352941,0.641791045,0.623188406,0.699817761
29a92420-e4f2-4c78-8ce4-37d416ff8ed5,5e221ac0-abf8-4d99-a4c6-7d2fe57d291b,100,FALSE,None,RF,4601,58,2,0.956559513,0.94612069,0.969094923,0.924210526,0.94612069,0.969094923,0.924210526,0.587725544
29a92420-e4f2-4c78-8ce4-37d416ff8ed5,4e940778-029d-452d-8e53-34bad95eafcb,200,FALSE,None,RF,4601,58,2,0.961772372,0.952483801,0.977827051,0.928421053,0.952483801,0.977827051,0.928421053,1.069614504
29a92420-e4f2-4c78-8ce4-37d416ff8ed5,cee3cbf7-2be1-4c47-a767-3814835a706f,300,FALSE,None,RF,4601,58,2,0.959165943,0.949407966,0.971365639,0.928421053,0.949407966,0.971365639,0.928421053,1.597140319
29a92420-e4f2-4c78-8ce4-37d416ff8ed5,0ef88f07-66cd-4ac5-870d-ec7a1d0b3d69,400,FALSE,None,RF,4601,58,2,0.957428323,0.947255113,0.969162996,0.926315789,0.947255113,0.969162996,0.926315789,2.12441094
3c38dd43-36cc-4300-893f-d890d0500de6,73bce7eb-3770-4eae-9301-1ed5013915f2,100,FALSE,None,RF,846,19,4,0.783018868,0.783018868,0.783018868,0.783018868,0.759880594,0.758172906,0.765106564,0.249798559
